blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,qsar_mrt
0.135722222,0.255566667,0.0397,7.077326923,1,0.586,0.576741156,0.872,0.675,0.73,1.65
0.88167,0.11092,0.04835,5.237058793,0.015792121,4.5445,2.36,4.5585,5.42,5.3,1.7
0.125205,0.187491667,0.034926087,6.305727268,0.829421035,0.695,0.627,0.664,1.07,0.54,2.2
0.204688889,0.170255556,0.1173,10.7265,0.909592768,1.1632,0.676469814,2.55975,1.04,5.6,1.6
7.166666667,1.019,0.0474,2.06942307,0.325676209,2.823,1.09,0.708,3.71,0.7,3.14
0.212377778,0.127311111,0.1336,23.3123826,0.343539779,2.61,1.897,4.24,1.79,3.6,4.25
0.21645,0.060718,0.0456,6.144195993,1,1.14,1.074,0.654,2.05,0.6,2.2
0.028846667,0.10125,0.0283,10.33882775,0.144758386,1.338,1.888,0.732,1.61,0.76,1.54
0.036727778,0.25179,0.0359,1.700300039,0.28432883,0.781,0.8005,6.369,2.69,7.1,0.544
0.079370729,0.140513478,0.010138462,2.342218152,0.766306183,0.680333333,0.602,0.9715,0.513,0.87,1.56
0.083091111,0.10295,0.0035,1.065607024,0.406951594,7.0595,2.829,2.0995,3.46,1.9,2.58
0.305783,0.139228571,0.0025,1.555505519,1,1.175,1.0435,1.054,0.887,1.3,1.42
0.083091111,0.029994,0.0161,19.66971741,1,10.071,5.534,1.405,3.94,1.9,6.5
2.591090333,0.18475,0.0536,9.96,0.159462307,9.489,7.871835184,8.2235,9.55,6.3,0.875
0.58377125,0.5182695,0.0306,5.556464412,1,6.481,4.337,2.165,5.03,1.9,1.15
0.118633333,0.294333333,0.0015,1.787297073,0.208222296,1.434,1.136,2.323,5.35,2.8,1.7
0.295,0.475777778,0.008,1.194333333,1,0.8255,0.672485305,1.007666667,0.832,1.1,3.13
0.106432857,0.106025,0.16285,40.40304259,0.40151914,2.17575,1.674,1.242,2.28,2.3,0.98
1.206866667,0.540028333,0.09127,9.5875,0.425970896,6.888,4.093842398,17.663,5.61,17,1.16
0.157233333,0.057226,0.0106,5.890796504,0.086585821,1.694,1.257,1.075,1.34,0.94,3.88
2.591090333,3.4555,0.0147,11.96542414,0.417434035,1.912333333,1.95,15.841,2.2,8.9,2.24
0.323222222,0.283586667,0.0011,2.328614182,1,1.909666667,0.89,6.124,3.36,1.1,2.21
0.164933333,0.209,0.0012,0.4455,0.341327585,1.28,0.810239223,9.461,0.589,8.4,2.73
0.107022222,0.158011111,0.0073,1.9935,0.540655073,1.06,0.7945,1.322,1.68,1.3,1.82
0.14672625,0.17682325,0.0071,2.537431644,0.134886843,0.590333333,0.9025,2.638,0.799,3.4,3.11
1.84,3.683333333,0.017,9.322594962,0.365035671,3.214,1.821,1.773,4.4,1.4,2.73
1.837316167,0.24254,0.0032,1.397,0.272281524,0.76,0.708201956,1.167,2.81,1.8,0.665
0.068133333,0.125666667,0.00265,1.23575,0.395526616,1.022,0.975075866,5.342,0.749,7.6,2.19
0.065333333,0.116066667,0.0046,1.95,0.100666387,1.293,1.8345,1.383,3.66,2.6,1.07
0.58377125,0.0548,0.0055,1.517737505,0.087305935,4.877,1.322,6.642,6.29,6.1,3.05
0.236944444,0.0396,0.0068,2.93,0.079465314,5.044,2.739087793,2.402,5.26,3.5,1.49
8.049709667,0.167465563,0.0736,0.246,0.528853212,15.92733333,12.86450747,8.226,5,9.6,0.99
2.6267,0.533444444,0.0092,5.433119591,0.272283056,1.9565,0.972033071,1.344,1.44,1.5,3.33
0.1177,0.072033333,0.0163,5.589048406,0.03556449,1.232,0.798,1.178,1.35,1.7,2.92
